,num_game,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
124570576,1,5.3,5.3,5.3,5.3,5.3,5.3
91716452,1,11.3,11.3,11.3,11.3,11.3,11.3
162076421,12,1950.7,0.2,0.6749999999999999,6.0,38.425,1610.0
150538933,1,462.0,462.0,462.0,462.0,462.0,462.0
199255181,1,12.5,12.5,12.5,12.5,12.5,12.5
202818659,1,147.0,147.0,147.0,147.0,147.0,147.0
289244540,10,264.3,0.5,1.15,1.7,2.325,187.0
65342306,45,939.4999999999999,0.4,1.8,9.5,24.0,170.0
57319696,1,96.0,96.0,96.0,96.0,96.0,96.0
110906645,44,2129.7000000000003,0.3,3.35,9.75,34.5,866.0
101725007,24,850.7,0.1,1.275,3.1,33.5,285.0
206014489,27,1687.0,0.1,1.65,8.5,19.8,682.0
27338668,1,31.0,31.0,31.0,31.0,31.0,31.0
135475055,1,31.0,31.0,31.0,31.0,31.0,31.0
196171528,1,18.3,18.3,18.3,18.3,18.3,18.3
300938059,1,6.3,6.3,6.3,6.3,6.3,6.3
131217195,1,2179.0,2179.0,2179.0,2179.0,2179.0,2179.0
156297441,7,324.4,0.2,7.6,12.2,65.9,165.0
43248011,3,38.1,1.0,1.05,1.1,18.55,36.0
164478205,1,2046.0,2046.0,2046.0,2046.0,2046.0,2046.0
188167163,6,355.3,0.1,7.15,43.0,68.5,197.0
31500407,2,5.8,0.3,1.6,2.9,4.2,5.5
30440303,110,2467.0,0.1,0.9,2.8,12.575,765.0
298950,170,3736.9999999999995,0.1,0.7,2.55,11.849999999999998,1019.0
295117160,1,64.0,64.0,64.0,64.0,64.0,64.0
292422780,1,7.3,7.3,7.3,7.3,7.3,7.3
242819393,2,15.4,2.5,5.1,7.7,10.3,12.9
186154929,2,6.2,0.3,1.7000000000000002,3.1,4.500000000000001,5.9
129501816,10,332.5,0.4,1.1500000000000001,2.4,52.975,133.0
149873773,1,105.0,105.0,105.0,105.0,105.0,105.0
55319994,5,237.0,10.0,17.0,34.0,52.0,124.0
204199622,2,660.0,69.0,199.5,330.0,460.5,591.0
62878249,103,3277.4000000000005,0.1,3.9,13.3,29.5,287.0
46534663,10,46.7,0.2,0.25,1.25,4.5,22.0
207926270,4,18.3,0.2,0.27499999999999997,1.95,6.25,14.2
91828380,5,69.89999999999999,1.5,1.9,4.1,11.4,51.0
182604019,2,5.199999999999999,1.1,1.85,2.5999999999999996,3.3499999999999996,4.1
261336456,1,700.0,700.0,700.0,700.0,700.0,700.0
150137344,17,1832.1,0.4,2.7,7.8,40.0,1217.0
133800100,1,6.9,6.9,6.9,6.9,6.9,6.9
241424434,1,24.0,24.0,24.0,24.0,24.0,24.0
132381775,2,2055.0,61.0,544.25,1027.5,1510.75,1994.0
113039667,8,216.60000000000002,1.1,8.65,11.9,22.675,117.0
50801801,35,195.6,0.1,0.9500000000000001,2.8,4.9,87.0
162479816,1,35.0,35.0,35.0,35.0,35.0,35.0
230947875,1,13.0,13.0,13.0,13.0,13.0,13.0
201576436,2,23.2,2.2,6.9,11.6,16.3,21.0
83671083,28,398.0,0.2,1.0250000000000001,5.6,16.1,91.0
225933183,3,389.1,0.1,46.05,92.0,194.5,297.0
14216099,5,1678.2,5.9,16.3,22.0,184.0,1450.0
60557056,4,181.6,0.2,1.8499999999999999,28.2,71.75,125.0
255306029,1,5.1,5.1,5.1,5.1,5.1,5.1
31839832,3,237.4,3.5,3.7,3.9,116.95,230.0
99766416,4,32.5,0.3,3.675,5.6,10.05,21.0
168011250,1,35.0,35.0,35.0,35.0,35.0,35.0
253611147,1,6.9,6.9,6.9,6.9,6.9,6.9
161084485,2,11.6,5.5,5.65,5.8,5.949999999999999,6.1
274785080,31,234.0,0.1,0.6,2.0,4.2,85.0
223660563,3,87.5,0.5,17.25,34.0,43.5,53.0
176590636,3,36.5,0.1,6.75,13.4,18.2,23.0
164608800,3,11.2,0.2,0.7,1.2,5.5,9.8
267250336,1,7.6,7.6,7.6,7.6,7.6,7.6
173940259,12,3214.0,3.2,17.025,35.5,122.0,1402.0
212570211,4,499.8,4.0,8.350000000000001,20.4,137.0,455.0
153097805,5,92.2,1.3,1.7,8.2,27.0,54.0
41294957,1,11.8,11.8,11.8,11.8,11.8,11.8
111529766,3,188.3,0.1,0.15000000000000002,0.2,94.1,188.0
47500408,14,740.3999999999999,0.4,4.775,12.0,24.625,526.0
179772319,1,13.5,13.5,13.5,13.5,13.5,13.5
96282673,22,444.19999999999993,0.1,0.7,5.9,17.9,185.0
194266152,1,12.9,12.9,12.9,12.9,12.9,12.9
119211545,11,305.6,0.3,0.95,4.3,13.0,241.0
215039865,1,50.0,50.0,50.0,50.0,50.0,50.0
162214363,14,1679.6000000000001,0.1,1.25,5.2,22.325,1242.0
133267799,1,452.0,452.0,452.0,452.0,452.0,452.0
50699197,1,7.3,7.3,7.3,7.3,7.3,7.3
108219790,2,35.2,0.2,8.9,17.6,26.3,35.0
38323067,7,135.4,0.4,0.95,1.7,33.2,65.0
87059822,2,75.2,5.2,21.4,37.6,53.8,70.0
127894126,2,20.7,2.5,6.425,10.35,14.274999999999999,18.2
115404202,1,35.0,35.0,35.0,35.0,35.0,35.0
250364324,1,8.1,8.1,8.1,8.1,8.1,8.1
153633636,2,153.8,2.8,39.85,76.9,113.95,151.0
149505485,6,358.1,0.3,14.1,46.0,65.0,191.0
144578181,5,30.400000000000002,0.1,0.2,1.0,1.1,28.0
122026623,125,3056.0,0.1,0.9,5.6,19.9,306.0
75639638,5,380.1,9.1,41.0,65.0,130.0,135.0
219894679,1,49.0,49.0,49.0,49.0,49.0,49.0
216047302,1,82.0,82.0,82.0,82.0,82.0,82.0
189795214,1,257.0,257.0,257.0,257.0,257.0,257.0
308122123,1,6.9,6.9,6.9,6.9,6.9,6.9
104408704,2,159.8,10.8,45.35,79.9,114.45,149.0
54293428,55,2603.1,0.1,2.95,13.4,32.0,492.0
123397302,3,128.5,0.5,19.75,39.0,64.0,89.0
267633580,2,643.1,1.1,161.325,321.55,481.775,642.0
182076616,1,84.0,84.0,84.0,84.0,84.0,84.0
192245266,1,465.0,465.0,465.0,465.0,465.0,465.0
123325040,4,71.8,0.1,0.6250000000000001,0.8500000000000001,18.175,70.0
121535800,1,6.4,6.4,6.4,6.4,6.4,6.4
171383863,20,2503.6000000000004,0.1,0.5,0.9500000000000001,8.5,2402.0
196324436,1,8.6,8.6,8.6,8.6,8.6,8.6
188627637,2,49.0,15.0,19.75,24.5,29.25,34.0
180800031,1,664.0,664.0,664.0,664.0,664.0,664.0
157341587,35,1136.7,0.1,0.8,3.5,14.2,753.0
259263507,1,8.7,8.7,8.7,8.7,8.7,8.7
66939289,6,305.2,0.5,2.025,3.5,13.0,280.0
197406178,24,158.4,0.1,0.6,2.1,4.025,64.0
113444723,2,3749.3,5.3,939.975,1874.65,2809.325,3744.0
243712157,1,7.3,7.3,7.3,7.3,7.3,7.3
254935843,19,76.0,0.2,1.5,2.0,3.3,34.0
224998865,2,158.2,0.2,39.65,79.1,118.55,158.0
92025878,8,363.6,0.4,1.7750000000000001,21.25,39.75,229.0
141408990,2,55.1,8.1,17.825,27.55,37.275,47.0
64060101,6,3625.9,0.2,2.4749999999999996,18.55,44.0,3539.0
171252939,8,77.9,0.2,1.125,4.0,14.55,36.0
208061820,4,23.0,0.6,2.1,5.25,8.9,11.9
90672622,7,2201.4,1.5,20.45,56.0,368.0,1367.0
177457582,1,154.0,154.0,154.0,154.0,154.0,154.0
97291615,1,506.0,506.0,506.0,506.0,506.0,506.0
186642906,17,89.2,0.1,1.3,2.4,5.6,31.0
99723205,21,240.20000000000002,0.1,2.4,6.6,11.9,67.0
257108952,2,19.1,0.8,5.175000000000001,9.55,13.925,18.3
113771004,2,20.0,1.1,5.55,10.0,14.45,18.9
136866564,11,178.2,0.1,3.8,5.5,14.25,74.0
251123935,1,11.1,11.1,11.1,11.1,11.1,11.1
246949212,1,24.0,24.0,24.0,24.0,24.0,24.0
44147477,1,198.0,198.0,198.0,198.0,198.0,198.0
138115430,4,1513.7,1.1,1.5499999999999998,7.3,384.175,1498.0
121352371,1,2442.0,2442.0,2442.0,2442.0,2442.0,2442.0
53778883,1,15.2,15.2,15.2,15.2,15.2,15.2
105384518,67,2071.0,0.1,2.35,6.9,20.0,323.0
36546868,225,3215.0999999999995,0.1,0.4,1.5,7.4,819.0
133234931,5,322.3,1.0,1.8,14.5,132.0,173.0
204543155,1,7.5,7.5,7.5,7.5,7.5,7.5
104635003,2,1057.0,93.0,310.75,528.5,746.25,964.0
146355606,1,16.6,16.6,16.6,16.6,16.6,16.6
170057163,1,21.0,21.0,21.0,21.0,21.0,21.0
171916530,1,21.0,21.0,21.0,21.0,21.0,21.0
238451023,1,10.1,10.1,10.1,10.1,10.1,10.1
170382539,12,385.70000000000005,0.1,0.1,1.1,27.0,286.0
149368095,1,149.0,149.0,149.0,149.0,149.0,149.0
37396841,1,14.9,14.9,14.9,14.9,14.9,14.9
237724900,1,77.0,77.0,77.0,77.0,77.0,77.0
102927775,18,377.0,0.1,3.3499999999999996,6.75,23.15,122.0
175044682,1,80.0,80.0,80.0,80.0,80.0,80.0
296371285,1,41.0,41.0,41.0,41.0,41.0,41.0
129019336,1,548.0,548.0,548.0,548.0,548.0,548.0
241842320,1,456.0,456.0,456.0,456.0,456.0,456.0
275529528,4,14.200000000000003,0.8,1.9249999999999998,3.75,5.375,5.9
72989129,37,1252.7,0.1,1.4,4.1,13.7,376.0
72996988,52,1200.8,0.2,1.2,3.0,16.075000000000003,261.0
298902962,2,5.1,0.5,1.525,2.55,3.5749999999999997,4.6
140372243,1,33.0,33.0,33.0,33.0,33.0,33.0
73094362,4,1005.0,45.0,63.0,227.0,415.25,506.0
95325409,12,75.10000000000001,0.1,0.37500000000000006,0.6,5.175,34.0
152959594,90,1738.3000000000002,0.1,0.8,3.55,10.85,536.0
22371742,43,220.4,0.1,0.5,1.6,4.95,58.0
100351493,21,174.3,0.4,1.5,2.8,9.3,36.0
73518199,57,1858.1999999999998,0.2,4.0,20.0,43.0,300.0
66592754,1,18.9,18.9,18.9,18.9,18.9,18.9
20207081,9,5316.4,3.9,11.7,33.0,73.0,4845.0
77632511,3,281.4,12.4,16.7,21.0,134.5,248.0
245859173,18,162.00000000000003,0.1,0.6499999999999999,2.4000000000000004,7.325,65.0
192839333,2,326.2,0.2,81.65,163.1,244.55,326.0
249543309,1,6.1,6.1,6.1,6.1,6.1,6.1
85342296,1,93.0,93.0,93.0,93.0,93.0,93.0
69856757,55,3227.8,0.3,2.4,11.7,43.5,1377.0
116411567,10,86.10000000000001,0.4,1.1500000000000001,2.4000000000000004,4.7250000000000005,40.0
83849502,29,659.4000000000001,0.1,0.2,0.4,8.6,410.0
115958331,5,74.2,0.4,0.9,5.9,10.0,57.0
104198851,1,36.0,36.0,36.0,36.0,36.0,36.0
100311267,53,259.7,0.1,0.4,0.9,4.0,94.0
258478416,1,5.2,5.2,5.2,5.2,5.2,5.2
40797591,5,6.5,0.2,0.8,1.1,1.5,2.9
23717586,46,2390.8999999999996,0.3,1.9,10.899999999999999,36.0,1022.0
301299641,1,14.2,14.2,14.2,14.2,14.2,14.2
189424582,1,272.0,272.0,272.0,272.0,272.0,272.0
111575581,1,23.0,23.0,23.0,23.0,23.0,23.0
177050329,1,1497.0,1497.0,1497.0,1497.0,1497.0,1497.0
101552080,3,241.4,3.4,25.7,48.0,119.0,190.0
284769694,1,5.0,5.0,5.0,5.0,5.0,5.0
195105284,10,681.0,0.4,0.9750000000000001,8.35,51.975,315.0
172470005,9,136.0,0.8,2.7,6.7,12.2,59.0
193792189,3,7.7,0.8,1.35,1.9,3.45,5.0
47672756,19,117.19999999999999,0.1,0.8999999999999999,4.4,10.6,18.9
111142411,1,104.0,104.0,104.0,104.0,104.0,104.0
181156459,1,190.0,190.0,190.0,190.0,190.0,190.0
77310637,2,23.5,4.6,8.174999999999999,11.75,15.325,18.9
152934929,1,18.7,18.7,18.7,18.7,18.7,18.7
141773234,5,1973.0,1.5,6.8,7.3,13.4,1944.0
183531966,1,77.0,77.0,77.0,77.0,77.0,77.0
115008799,6,1608.2,6.9,12.975000000000001,31.5,274.5,1176.0
164865114,1,17.0,17.0,17.0,17.0,17.0,17.0
145840451,1,113.0,113.0,113.0,113.0,113.0,113.0
141950398,2,1320.8,4.8,332.6,660.4,988.2,1316.0
91736333,2,26.6,10.0,11.65,13.3,14.950000000000001,16.6
166927601,12,533.9000000000001,0.1,0.45,3.1,14.3,429.0
73835640,102,2557.1,0.1,4.324999999999999,7.949999999999999,13.8,916.0
197861486,1,27.0,27.0,27.0,27.0,27.0,27.0
302442858,1,53.0,53.0,53.0,53.0,53.0,53.0
190654528,1,146.0,146.0,146.0,146.0,146.0,146.0
121577821,2,1903.4,19.4,485.55,951.7,1417.85,1884.0
28711405,2,1510.0,33.0,394.0,755.0,1116.0,1477.0
75232211,47,1288.8999999999999,0.2,0.8,12.5,28.0,322.0
278329690,1,5.8,5.8,5.8,5.8,5.8,5.8
101447015,2,1486.0,516.0,629.5,743.0,856.5,970.0
302363079,4,66.7,0.4,3.55,6.15,19.275,54.0
266367020,3,66.2,1.3,8.1,14.9,32.45,50.0
69658686,1,10.5,10.5,10.5,10.5,10.5,10.5
129659946,2,158.0,62.0,70.5,79.0,87.5,96.0
78335076,3,26.3,7.5,8.15,8.8,9.4,10.0
151465345,1,22.0,22.0,22.0,22.0,22.0,22.0
173002032,1,232.0,232.0,232.0,232.0,232.0,232.0
151058601,1,12.9,12.9,12.9,12.9,12.9,12.9
246908963,2,8.5,3.7,3.9750000000000005,4.25,4.5249999999999995,4.8
225734651,5,43.199999999999996,0.3,0.3,0.5,2.1,40.0
123122821,1,14.5,14.5,14.5,14.5,14.5,14.5
296260221,8,19.9,0.2,0.45,0.7,2.2750000000000004,11.0
211054311,1,8.5,8.5,8.5,8.5,8.5,8.5
175806506,1,92.0,92.0,92.0,92.0,92.0,92.0
40576653,1,347.0,347.0,347.0,347.0,347.0,347.0
147340721,1,15.6,15.6,15.6,15.6,15.6,15.6
221702697,1,16.0,16.0,16.0,16.0,16.0,16.0
46637811,84,4957.799999999999,0.1,1.15,6.35,24.75,2563.0
253253005,3,31.8,0.1,1.4000000000000001,2.7,15.85,29.0
139388319,1,1499.0,1499.0,1499.0,1499.0,1499.0,1499.0
80309714,2,316.0,132.0,145.0,158.0,171.0,184.0
229556803,4,24.2,0.1,0.24999999999999997,0.55,6.35,23.0
124878949,7,364.2,2.8,4.7,26.0,63.0,200.0
170215786,13,418.7,1.3,3.4,7.4,14.7,242.0
295363571,2,248.3,0.3,62.225,124.15,186.075,248.0
62562867,1,97.0,97.0,97.0,97.0,97.0,97.0
300217861,1,9.7,9.7,9.7,9.7,9.7,9.7
218054193,2,13.600000000000001,6.4,6.6000000000000005,6.800000000000001,7.0,7.2
147395962,3,208.3,19.3,20.65,22.0,94.5,167.0
188573606,1,27.0,27.0,27.0,27.0,27.0,27.0
54477968,4,36.39999999999999,0.4,0.775,8.049999999999999,16.375,19.9
131227682,12,648.9,0.4,1.2249999999999999,4.95,33.75,465.0
272499996,13,231.0,0.3,1.0,5.7,13.4,110.0
85518568,3,26.200000000000003,4.6,5.15,5.7,10.8,15.9
235770634,1,39.0,39.0,39.0,39.0,39.0,39.0
202906277,1,24.0,24.0,24.0,24.0,24.0,24.0
242200471,1,171.0,171.0,171.0,171.0,171.0,171.0
296285114,1,113.0,113.0,113.0,113.0,113.0,113.0
70351792,4,281.40000000000003,11.3,11.899999999999999,54.05,112.5,162.0
285704870,1,7.5,7.5,7.5,7.5,7.5,7.5
257299708,1,107.0,107.0,107.0,107.0,107.0,107.0
71480053,1,31.0,31.0,31.0,31.0,31.0,31.0
192538478,6,37.800000000000004,0.4,1.7999999999999998,3.95,7.750000000000001,19.4
171067153,60,1951.3999999999996,0.1,1.3249999999999997,4.2,14.850000000000001,795.0
116283279,13,216.0,0.3,1.0,1.5,4.7,142.0
149331941,7,185.50000000000003,0.8,1.15,4.4,46.5,85.0
153945772,11,1781.6,0.3,1.25,3.1,25.4,1625.0
61502266,1,5.0,5.0,5.0,5.0,5.0,5.0
102921672,16,93.8,0.3,1.5750000000000002,2.85,6.699999999999999,25.0
230967602,1,76.0,76.0,76.0,76.0,76.0,76.0
113530439,1,809.0,809.0,809.0,809.0,809.0,809.0
186452942,1,14.8,14.8,14.8,14.8,14.8,14.8
259038184,2,220.0,96.0,103.0,110.0,117.0,124.0
149820947,1,274.0,274.0,274.0,274.0,274.0,274.0
213235578,2,10.8,1.0,3.2,5.4,7.6000000000000005,9.8
118236431,1,216.0,216.0,216.0,216.0,216.0,216.0
248364783,1,161.0,161.0,161.0,161.0,161.0,161.0
104418822,1,514.0,514.0,514.0,514.0,514.0,514.0
224929163,2,32.7,0.7,8.525,16.35,24.175,32.0
144463433,2,49.1,1.1,12.825,24.55,36.275,48.0
62858973,6,91.69999999999999,2.4,3.075,6.3,10.35,63.0
199637398,3,33.6,3.7,5.800000000000001,7.9,14.95,22.0
205329032,2,1453.0,6.0,366.25,726.5,1086.75,1447.0
233692859,1,495.0,495.0,495.0,495.0,495.0,495.0
170460109,37,895.1999999999999,0.2,0.6,1.3,7.4,484.0
36791999,12,364.9,1.2,7.375,11.2,34.0,150.0
116494569,19,2532.8,0.7,1.5,8.5,37.5,1899.0
185390486,7,1326.8000000000002,0.2,0.3,0.6,13.7,1298.0
20464587,30,323.3,0.1,0.3,0.7,3.35,78.0
161211955,5,177.70000000000002,1.3,1.9,5.2,19.3,150.0
60859324,32,1598.4,0.2,4.5,19.7,41.5,603.0
280027508,1,266.0,266.0,266.0,266.0,266.0,266.0
57905818,13,5534.799999999999,0.1,0.2,0.8,3.7,4405.0
237281095,1,6.2,6.2,6.2,6.2,6.2,6.2
79542039,8,61.300000000000004,0.3,1.4249999999999998,2.15,8.899999999999999,34.0
161007736,1,117.0,117.0,117.0,117.0,117.0,117.0
67713900,15,2747.4,5.2,33.0,116.0,237.0,825.0
146016192,4,7.8999999999999995,0.1,0.32500000000000007,1.3499999999999999,3.0,5.1
301249176,1,5.1,5.1,5.1,5.1,5.1,5.1
231191282,1,93.0,93.0,93.0,93.0,93.0,93.0
116756674,2,47.5,9.5,16.625,23.75,30.875,38.0
177734872,1,19.1,19.1,19.1,19.1,19.1,19.1
238625455,1,8.7,8.7,8.7,8.7,8.7,8.7
101826973,1,89.0,89.0,89.0,89.0,89.0,89.0
68540434,3,275.0,63.0,84.5,106.0,106.0,106.0
266035768,1,28.0,28.0,28.0,28.0,28.0,28.0
161672514,1,14.1,14.1,14.1,14.1,14.1,14.1
84824859,1,845.0,845.0,845.0,845.0,845.0,845.0
198019368,1,85.0,85.0,85.0,85.0,85.0,85.0
303007171,5,32.0,0.2,0.7,0.8,3.3,27.0
90956570,4,15.3,0.2,1.8499999999999999,2.65,4.625,9.8
47164966,7,679.7,0.2,0.8999999999999999,1.6,15.05,646.0
160725611,2,9.3,1.3,2.975,4.65,6.325,8.0
119670302,2,915.0,383.0,420.25,457.5,494.75,532.0
302477662,1,13.4,13.4,13.4,13.4,13.4,13.4
229203462,1,77.0,77.0,77.0,77.0,77.0,77.0
191792074,1,14.5,14.5,14.5,14.5,14.5,14.5
100053304,5,36.1,1.0,1.1,4.4,12.6,17.0
26729643,104,4667.5,0.2,4.875,14.15,41.25,526.0
108223505,6,150.6,0.3,1.125,10.1,32.5,92.0
231469827,1,34.0,34.0,34.0,34.0,34.0,34.0
187937296,1,14.1,14.1,14.1,14.1,14.1,14.1
64137709,3,66.6,6.6,14.3,22.0,30.0,38.0
201680419,1,475.0,475.0,475.0,475.0,475.0,475.0
180763362,1,16.1,16.1,16.1,16.1,16.1,16.1
115655987,6,1396.6,0.1,0.17500000000000002,187.7,408.75,601.0
91815420,2,24.4,0.4,6.3,12.2,18.1,24.0
114244707,1,7.2,7.2,7.2,7.2,7.2,7.2
253549183,1,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0
26461910,1,329.0,329.0,329.0,329.0,329.0,329.0
52321307,26,4114.4,0.3,16.724999999999998,56.5,180.25,893.0
275086284,7,16.299999999999997,0.3,0.35,0.4,1.65,11.6
221738571,1,27.0,27.0,27.0,27.0,27.0,27.0
190502181,14,1722.3,0.2,1.375,4.05,115.5,1031.0
165779930,30,2837.0,0.2,3.2249999999999996,12.05,45.25,1073.0
67001780,8,1424.5,0.1,2.2250000000000005,48.45,292.75,645.0
138375115,1,319.0,319.0,319.0,319.0,319.0,319.0
247544697,1,9.3,9.3,9.3,9.3,9.3,9.3
173394554,2,5.2,2.0,2.3,2.6,2.9000000000000004,3.2
170264961,1,5.4,5.4,5.4,5.4,5.4,5.4
56002861,6,291.3,0.2,8.9,16.0,18.675,233.0
201283792,4,330.1,5.6,7.775,57.75,132.5,209.0
202775025,2,130.2,8.2,36.65,65.1,93.55,122.0
296106225,1,15.3,15.3,15.3,15.3,15.3,15.3
152793135,1,7.8,7.8,7.8,7.8,7.8,7.8
3527485,15,529.9,0.1,1.25,2.7,8.55,455.0
52863875,3,17.0,0.2,0.2,0.2,8.4,16.6
150472108,6,266.3,0.8,5.324999999999999,17.05,25.25,202.0
125226713,2,517.1,7.1,132.825,258.55,384.275,510.0
285860790,15,452.9,0.4,8.65,12.9,22.0,261.0
167608965,1,16.1,16.1,16.1,16.1,16.1,16.1
186010200,1,14.0,14.0,14.0,14.0,14.0,14.0
206701226,1,89.0,89.0,89.0,89.0,89.0,89.0
195584941,9,208.4,0.3,1.6,16.0,24.0,100.0
131237387,1,7.1,7.1,7.1,7.1,7.1,7.1
199768117,4,789.6999999999999,3.3,7.500000000000001,12.7,202.625,761.0
114617787,9,2671.2999999999997,1.2,3.2,4.5,46.0,2254.0
37490443,24,1519.6,0.3,6.975,25.0,40.75,440.0
172766915,1,5.9,5.9,5.9,5.9,5.9,5.9
302228798,2,16.2,2.0,5.05,8.1,11.149999999999999,14.2
239488605,1,66.0,66.0,66.0,66.0,66.0,66.0
182478684,2,58.3,1.3,15.225,29.15,43.075,57.0
209804474,2,24.299999999999997,6.6,9.375,12.149999999999999,14.924999999999999,17.7
197666345,1,27.0,27.0,27.0,27.0,27.0,27.0
181112485,1,7.8,7.8,7.8,7.8,7.8,7.8
104727643,34,872.9000000000001,0.1,0.42500000000000004,3.9000000000000004,16.900000000000002,385.0
237012219,1,276.0,276.0,276.0,276.0,276.0,276.0
192012936,3,10.7,0.7,2.2,3.7,5.0,6.3
225848614,3,251.1,1.0,2.55,4.1,125.05,246.0
10144504,3,5.7,0.3,0.35,0.4,2.7,5.0
3674653,1,772.0,772.0,772.0,772.0,772.0,772.0
197949629,15,289.90000000000003,0.1,0.7,5.1,13.0,84.0
180887333,1,66.0,66.0,66.0,66.0,66.0,66.0
61099969,2,16.5,6.1,7.174999999999999,8.25,9.325000000000001,10.4
160042745,6,1044.0000000000002,4.3,6.450000000000001,7.15,17.675,998.0
201763859,1,448.0,448.0,448.0,448.0,448.0,448.0
66615366,35,1789.5,0.1,1.6,6.5,24.0,417.0
118541865,33,187.70000000000002,0.1,0.6,1.6,6.4,58.0
297925945,1,118.0,118.0,118.0,118.0,118.0,118.0
203735948,1,17.8,17.8,17.8,17.8,17.8,17.8
281857216,7,515.2,0.2,0.6,1.9,20.45,471.0
185467694,1,8.3,8.3,8.3,8.3,8.3,8.3
60736966,1,994.0,994.0,994.0,994.0,994.0,994.0
297650024,7,62.3,0.2,0.3,2.0,6.75,46.0
6717871,49,339.1,0.1,0.6,2.0,7.0,86.0
246439849,5,159.79999999999998,1.0,2.8,3.4,4.6,148.0
93021129,1,127.0,127.0,127.0,127.0,127.0,127.0
101597552,1,34.0,34.0,34.0,34.0,34.0,34.0
62352668,1,51.0,51.0,51.0,51.0,51.0,51.0
159000186,1,11.1,11.1,11.1,11.1,11.1,11.1
176771895,1,587.0,587.0,587.0,587.0,587.0,587.0
173249224,3,69.7,0.7,5.35,10.0,34.5,59.0
181593489,10,445.5,2.9,7.975,14.649999999999999,26.75,255.0
157391838,12,825.8,0.1,0.8250000000000001,2.05,9.75,760.0
133573140,2,877.0,79.0,258.75,438.5,618.25,798.0
245816621,1,9.7,9.7,9.7,9.7,9.7,9.7
26465134,45,2021.7,0.1,3.2,10.1,43.0,571.0
139122042,1,54.0,54.0,54.0,54.0,54.0,54.0
11978743,46,616.5,0.1,0.3,0.8,12.899999999999999,170.0
266885016,1,14.3,14.3,14.3,14.3,14.3,14.3
55776971,8,190.60000000000002,2.3,3.275,17.0,31.75,79.0
221432905,3,39.7,0.1,3.8499999999999996,7.6,19.8,32.0
178675666,1,58.0,58.0,58.0,58.0,58.0,58.0
160310816,1,32.0,32.0,32.0,32.0,32.0,32.0
162763644,1,88.0,88.0,88.0,88.0,88.0,88.0
124234882,11,284.0,0.2,3.3000000000000003,18.5,36.0,108.0
74749851,1,67.0,67.0,67.0,67.0,67.0,67.0
188991147,1,6.8,6.8,6.8,6.8,6.8,6.8
68337019,5,224.7,0.7,1.3,11.7,75.0,136.0
2083767,31,466.7,0.1,1.2,5.0,12.55,196.0
179936723,11,188.79999999999998,0.3,1.1,2.5,16.4,107.0
148467772,9,193.2,0.1,7.0,11.8,16.1,93.0
198350044,1,137.0,137.0,137.0,137.0,137.0,137.0
164948794,1,546.0,546.0,546.0,546.0,546.0,546.0
85968997,1,24.0,24.0,24.0,24.0,24.0,24.0
228826954,1,46.0,46.0,46.0,46.0,46.0,46.0
37466720,8,165.9,0.2,0.775,1.0,1.7999999999999998,158.0
171087166,1,120.0,120.0,120.0,120.0,120.0,120.0
13646256,8,39.6,0.3,0.9,2.8,9.075000000000001,12.4
178730299,1,29.0,29.0,29.0,29.0,29.0,29.0
181329087,3,41.9,0.4,0.45,0.5,20.75,41.0
269347396,2,164.0,45.0,63.5,82.0,100.5,119.0
56497895,4,46.3,0.8,2.825,12.25,21.0,21.0
195130514,1,79.0,79.0,79.0,79.0,79.0,79.0
67694595,59,7150.5,0.1,1.0,4.9,20.05,5608.0
175063109,1,268.0,268.0,268.0,268.0,268.0,268.0
143124637,8,44.1,0.2,0.49999999999999994,0.9,5.175000000000001,28.0
303486706,1,35.0,35.0,35.0,35.0,35.0,35.0
158923194,1,6.2,6.2,6.2,6.2,6.2,6.2
258602617,5,452.5,0.6,3.7,4.2,6.0,438.0
187484302,6,27.200000000000003,0.1,1.075,3.05,4.725,15.3
138455695,1,112.0,112.0,112.0,112.0,112.0,112.0
136705294,1,61.0,61.0,61.0,61.0,61.0,61.0
157109900,1,150.0,150.0,150.0,150.0,150.0,150.0
173558102,1,27.0,27.0,27.0,27.0,27.0,27.0
103520209,1,9.4,9.4,9.4,9.4,9.4,9.4
215380327,8,36.5,1.2,1.775,3.3000000000000003,7.0,10.4
171726897,7,17.299999999999997,0.5,1.7000000000000002,2.1,3.55,4.2
285252660,2,167.3,1.3,42.475,83.65,124.825,166.0
242914933,1,16.5,16.5,16.5,16.5,16.5,16.5
228063098,1,15.1,15.1,15.1,15.1,15.1,15.1
139673932,7,3487.6,0.1,12.75,23.0,32.5,3374.0
108569990,4,7.199999999999999,0.3,0.45,0.95,2.3,5.0
63615483,53,7182.099999999999,0.1,0.9,4.6,39.0,4749.0
40286953,1,42.0,42.0,42.0,42.0,42.0,42.0
51300149,9,70.5,0.4,4.5,7.8,9.8,16.5
87424218,2,75.0,3.0,20.25,37.5,54.75,72.0
106834867,18,1205.5,0.4,3.075,6.050000000000001,21.2,1043.0
90809240,3,37.3,0.5,0.65,0.8,18.4,36.0
222284298,1,12.6,12.6,12.6,12.6,12.6,12.6
200036280,7,33.4,0.8,1.6,2.5,3.55,19.8
297510921,9,9.5,0.1,0.3,0.4,0.9,4.1
