,num_user,playtime_total,playtime_000,playtime_p025,playtime_p050,playtime_p075,playtime_p100
Sherlock Holmes Nemesis,3,34.2,2.0,7.4,12.8,16.1,19.4
Puzzler World 2,1,19.1,19.1,19.1,19.1,19.1,19.1
Bejeweled 3,13,212.29999999999998,0.2,1.7,8.7,18.2,67.0
Alice Madness Returns,27,221.70000000000005,0.4,2.05,3.8,10.65,29.0
The Book of Unwritten Tales,9,89.6,0.3,0.5,3.2,15.4,38.0
The Movies,1,14.5,14.5,14.5,14.5,14.5,14.5
Guacamelee! Gold Edition,31,184.8,0.2,0.65,2.4,4.75,86.0
The Walking Dead,110,1715.4000000000003,0.2,3.575,12.95,18.200000000000003,185.0
MacGuffin's Curse,2,15.5,1.7,4.725,7.75,10.775000000000002,13.8
The Testament of Sherlock Holmes,17,127.90000000000002,0.1,1.4,2.9,11.7,23.0
Bully Scholarship Edition,23,235.2,0.1,0.75,2.0,11.2,94.0
Indigo Prophecy,3,31.5,8.6,9.35,10.1,11.45,12.8
Crazy Machines 2,4,15.1,0.2,0.27499999999999997,1.15,4.65,12.6
The Secret of Monkey Island Special Edition,30,142.10000000000002,0.1,0.525,2.95,8.524999999999999,15.9
Kingdoms of Amalur Reckoning,45,1181.6,0.2,2.3,7.1,38.0,153.0
"Cook, Serve, Delicious!",11,110.99999999999999,0.3,1.65,2.7,13.149999999999999,34.0
Deponia The Complete Journey,6,122.4,1.4,4.1,16.15,25.5,60.0
Tales of Monkey Island Chapter 1 - Launch of the Screaming Narwhal,5,21.1,0.4,1.3,3.8,4.9,10.7
DiRT 2,23,265.9,0.2,3.9,9.4,15.05,54.0
Worms Clan Wars,12,42.79999999999999,0.4,1.7,2.3,4.5,10.4
Monkey Island 2 Special Edition,9,60.900000000000006,0.1,0.3,7.6,9.8,19.7
Vessel,11,14.3,0.2,0.3,0.4,0.55,9.7
4 Elements,4,59.4,2.1,7.575000000000001,10.15,17.425,37.0
Cryostasis,3,18.1,1.1,4.4,7.7,8.5,9.3
TrackMania Stadium,12,285.9,0.7,1.95,4.45,16.425,164.0
Aura Fate of the Ages,3,10.799999999999999,0.1,1.2,2.3,5.35,8.4
Scribblenauts Unlimited,67,553.9000000000001,0.1,1.35,4.3,8.7,166.0
Eets,5,13.2,0.2,0.5,2.1,2.6,7.8
Trials 2 Second Edition,7,23.5,0.1,0.25,4.6,5.300000000000001,7.7
Grim Legends The Forsaken Bride,5,36.0,3.7,6.3,7.7,9.1,9.2
Nightmares from the Deep 2 The Siren`s Call,3,16.3,3.9,4.45,5.0,6.2,7.4
Lara Croft and the Guardian of Light,26,93.89999999999998,0.2,0.6,1.8499999999999999,6.6499999999999995,13.6
Antichamber,50,139.39999999999998,0.2,0.9,1.35,3.0,16.8
Tales of Monkey Island Chapter 2 - The Siege of Spinner Cay ,3,11.7,1.9,2.3499999999999996,2.8,4.9,7.0
The Jackbox Party Pack,6,431.0,0.6,1.4499999999999997,4.3,10.3,409.0
Abyss The Wraiths of Eden,1,6.8,6.8,6.8,6.8,6.8,6.8
Anodyne,3,9.2,0.8,1.25,1.7,4.2,6.7
Tales of Monkey Island Chapter 3 - Lair of the Leviathan ,2,12.2,5.5,5.8,6.1,6.4,6.7
Singularity,8,81.10000000000001,0.7,5.249999999999999,9.55,15.575000000000001,22.0
The Maw,4,37.2,1.1,4.475,6.05,10.875,24.0
Poker Night at the Inventory,33,191.6,0.1,1.3,2.3,5.4,37.0
Penumbra Black Plague,8,39.7,1.1,2.675,4.6,7.375,9.2
Sinister City,6,19.9,0.1,2.6500000000000004,3.2,4.800000000000001,5.6
Puzzle Agent,5,19.6,0.3,2.6,3.9,5.6,7.2
Cargo! - The quest for gravity,2,14.0,5.4,6.200000000000001,7.0,7.799999999999999,8.6
Rocketbirds Hardboiled Chicken,8,15.8,0.2,0.3,1.25,2.95,5.3
Nightmares from the Deep The Cursed Heart,3,13.9,1.3,3.3,5.3,6.3,7.3
"Papers, Please",72,281.7,0.2,0.9,2.05,5.824999999999999,19.4
Insanely Twisted Shadow Planet,8,28.2,0.1,1.725,4.35,5.025,6.8
Surgeon Simulator,81,370.70000000000005,0.1,0.9,2.4,5.0,70.0
Cities Skylines,111,3192.9999999999995,0.2,7.4,16.1,41.5,285.0
Alchemy Mysteries Prague Legends,5,19.9,1.6,3.8,4.2,4.6,5.7
Clockwork Tales Of Glass and Ink,3,10.8,2.9,3.15,3.4,3.95,4.5
Tales of Monkey Island Chapter 4 - The Trial and Execution of Guybrush Threepwood ,3,14.2,3.8,4.1,4.4,5.2,6.0
Puzzle Agent 2,3,8.0,0.2,1.85,3.5,3.9,4.3
9 Clues The Secret of Serpent Creek,4,11.2,0.3,2.55,3.3499999999999996,3.5999999999999996,4.2
The Tiny Bang Story,6,74.8,2.1,3.75,4.95,6.075,53.0
Wallace & Gromit Ep 1 Fright of the Bumblebees,4,9.9,0.6,1.5,2.75,3.7250000000000005,3.8
Shoppe Keep,5,17.9,0.2,0.2,3.6,4.3,9.6
Gone Home,24,48.800000000000004,0.2,1.15,1.9,2.7250000000000005,5.1
Windosill,6,5.8999999999999995,0.1,0.30000000000000004,0.7,0.8,3.4
Plants vs. Zombies Game of the Year,56,2427.6000000000004,0.4,3.3499999999999996,10.15,27.5,806.0
Sam & Max 105 Reality 2.0,2,5.5,2.2,2.475,2.75,3.0249999999999995,3.3
Tales of Monkey Island Chapter 5 - Rise of the Pirate God,3,10.700000000000001,3.2,3.4000000000000004,3.6,3.75,3.9
ibb & obb,5,10.0,0.1,0.2,3.2,3.2,3.3
Obulis,4,11.2,0.5,0.875,1.95,3.875,6.8
Sam & Max 106 Bright Side of the Moon,2,9.399999999999999,2.8,3.7499999999999996,4.699999999999999,5.6499999999999995,6.6
Chime,7,18.4,0.3,0.75,2.7,4.35,5.2
RollerCoaster Tycoon 3 Platinum!,42,789.7999999999998,0.2,1.6,5.25,11.875,227.0
Sam & Max 104 Abe Lincoln Must Die!,4,12.5,2.5,2.7249999999999996,3.0,3.4000000000000004,4.0
"Ben There, Dan That!",5,6.6,0.3,0.4,0.6,2.5,2.8
Hector Ep 1,4,6.1,0.5,0.7250000000000001,1.6,2.4,2.4
Resident Evil 5 / Biohazard 5,32,283.49999999999994,0.2,1.75,8.25,12.6,31.0
The Wolf Among Us,44,435.9000000000001,1.0,7.875000000000001,8.4,11.975000000000001,39.0
Fate of the World,6,15.0,0.1,0.35,1.4,4.1000000000000005,7.1
State of Decay,64,906.8999999999997,0.2,1.0750000000000002,3.85,17.725,132.0
Contagion,49,199.80000000000007,0.1,0.9,2.1,4.8,27.0
The Beginner's Guide,5,8.6,0.6,1.5,1.8,1.9,2.8
Octodad Dadliest Catch,24,148.20000000000002,0.2,1.1749999999999998,2.75,8.55,39.0
Trials Evolution Gold Edition,25,398.4,0.1,2.9,9.1,20.0,55.0
Half-Life,104,656.0000000000002,0.1,0.475,1.6,9.425,66.0
Spectraball,4,30.0,0.6,1.275,2.2,8.425,25.0
Plain Sight,12,36.29999999999999,0.3,0.5499999999999999,2.0,5.500000000000001,9.3
The Cave,14,126.70000000000002,0.3,1.4249999999999998,3.85,6.775,72.0
Just Cause 2 Multiplayer Mod,86,655.8000000000001,0.2,1.3,3.5,8.75,94.0
Blocks That Matter,15,33.199999999999996,0.2,0.75,1.1,2.45,8.0
"Time Gentlemen, Please!",3,6.3,0.2,0.6,1.0,3.05,5.1
Trine 2,128,831.3,0.1,1.4,3.55,8.950000000000001,37.0
Blur,7,50.0,0.6,2.0500000000000003,3.2,11.25,19.6
Magicka,188,2046.6000000000004,0.1,1.7,6.35,15.1,79.0
LEGO Worlds,26,166.4,0.2,0.7,1.95,10.325,37.0
Zeno Clash,16,26.8,0.2,0.7,0.8500000000000001,1.6249999999999998,5.8
FORCED,27,77.49999999999999,0.1,0.75,2.7,4.65,7.8
Hydrophobia Prophecy,12,102.10000000000001,0.3,0.6,0.85,2.625,84.0
Gravilon,6,15.5,0.1,0.25,0.5,2.1,11.6
The Longest Journey,7,24.9,0.4,0.6,0.9,4.9,12.6
The Misadventures of P.B. Winterbottom,7,6.499999999999999,0.3,0.35,0.8,0.9500000000000001,2.8
EDGE,12,13.200000000000001,0.1,0.37500000000000006,0.45,1.0,5.8
Shank 2,14,69.6,0.2,0.8499999999999999,1.95,3.875,31.0
Team Fortress Classic,21,20.0,0.1,0.3,0.5,1.0,5.0
Tomb Raider I,13,60.5,0.1,0.2,0.6,5.5,27.0
Sid Meier's Civilization IV,35,615.0000000000001,0.1,1.5,6.4,21.0,98.0
The Sims(TM) 3,43,2245.5000000000005,0.3,5.55,16.7,48.0,478.0
H1Z1,137,7364.200000000001,0.1,5.4,16.1,44.0,602.0
PAYDAY The Heist,199,1512.7000000000003,0.1,1.1,3.2,8.55,80.0
Need for Speed Undercover,12,116.2,0.2,1.85,3.65,16.35,36.0
Battlefield Bad Company 2,111,6678.5999999999985,0.4,4.35,16.2,57.5,1022.0
EasyAntiCheat eSports,8,70.5,0.7,0.975,1.2000000000000002,10.024999999999999,41.0
Age of Chivalry,53,964.0,0.1,0.7,2.0,9.7,461.0
Counter-Strike Condition Zero Deleted Scenes,92,416.9999999999999,0.1,0.4,0.8,2.8,47.0
War Inc. Battlezone,21,103.1,0.1,0.5,2.0,5.1,53.0
Labyronia RPG,3,14.7,2.6,4.25,5.9,6.050000000000001,6.2
Aftermath,52,273.79999999999995,0.1,0.6,1.6,3.75,63.0
Warframe,409,27054.599999999995,0.1,2.0,6.5,28.0,1159.0
sZone-Online,53,54.199999999999996,0.1,0.3,0.6,1.0,6.7
Archeblade,56,250.5,0.1,0.4,1.4,4.0,50.0
Fishing Planet,44,88.4,0.1,0.3,0.75,1.9,22.0
Happy Wars,50,171.89999999999998,0.1,0.4,1.0,2.8249999999999997,39.0
No More Room in Hell,215,1301.7000000000003,0.1,0.7,2.4,7.7,106.0
Loadout,172,1395.1000000000004,0.1,0.8,3.05,7.075,425.0
World of Guns Gun Disassembly,66,330.2,0.1,0.4,0.8,1.4,196.0
Quake Live,72,277.8999999999999,0.1,0.3,0.6,2.2750000000000004,149.0
Fractured Space,27,68.09999999999998,0.1,0.3,0.7,2.45,20.0
Mortal Kombat Komplete Edition,63,1321.3999999999994,0.3,1.5,5.3,10.7,505.0
Call of Duty Advanced Warfare,51,533.6000000000001,0.2,1.8,7.3,10.95,47.0
Euro Truck Simulator 2,167,7219.5999999999985,0.1,4.35,15.4,48.5,621.0
Napoleon Total War,121,9945.7,0.1,5.0,19.4,71.0,1648.0
Arma 3,155,24053.8,0.3,10.7,39.0,153.0,2484.0
Just Cause,12,66.60000000000001,0.1,0.575,1.75,6.625,24.0
This War of Mine,54,722.1,0.2,4.300000000000001,10.7,17.375,54.0
Sniper Elite V2,173,1843.3000000000004,0.1,1.2,3.3,8.9,241.0
Rising Storm/Red Orchestra 2 Multiplayer,116,5408.5,0.1,1.8249999999999997,4.05,19.5,1657.0
Arma 2 Private Military Company,7,5.4,0.1,0.25,0.5,1.0,2.3
Arma 2 Operation Arrowhead Beta (Obsolete),29,190.39999999999998,0.1,0.3,1.1,4.8,87.0
Arma Cold War Assault,26,37.8,0.1,0.3,0.5,0.7500000000000001,23.0
La Tale,17,142.80000000000004,0.1,0.6,1.3,11.4,46.0
Endless Sky,12,19.4,0.1,0.2,0.35,0.925,13.2
Amazing World,5,10.8,0.3,1.2,1.2,1.3,6.8
Hazard Ops,14,83.4,0.2,0.7249999999999999,1.15,5.199999999999999,30.0
Codename CURE,30,126.59999999999997,0.3,0.6,1.05,2.1750000000000003,64.0
Blacklight Retribution,76,1258.6000000000001,0.2,1.1,4.65,13.2,267.0
R.U.S.E,35,1268.1,0.5,5.4,20.0,56.0,168.0
Total War ROME II - Emperor Edition,149,20883.600000000002,0.6,12.5,48.0,182.0,1499.0
Star Wars - Battlefront II,109,1110.1999999999996,0.1,1.1,3.9,11.0,95.0
Stronghold 3,45,451.99999999999994,0.5,2.4,6.6,15.7,36.0
Pixel Puzzles Japan,8,39.3,0.5,2.6500000000000004,4.75,6.8500000000000005,9.9
Afterfall InSanity Extended Edition,31,57.699999999999996,0.1,0.5,1.9,2.2,7.5
Anomaly Warzone Earth,37,77.50000000000001,0.2,0.3,1.3,2.5,23.0
Woodle Tree Adventures,13,27.600000000000005,0.1,0.5,0.6,1.0,17.8
XCOM Enemy Unknown,160,7695.0999999999985,0.2,6.8500000000000005,24.0,43.0,693.0
WAKFU,32,1150.3000000000002,0.4,1.425,3.1,6.9750000000000005,912.0
Starbound,132,5189.8,0.1,5.225,19.15,49.25,411.0
Mass Effect 2,56,2492.0,0.5,9.6,26.5,61.25,311.0
Clicker Heroes,141,12929.299999999997,0.1,2.1,10.5,47.0,2008.0
PlanetSide 2,206,6235.100000000002,0.1,1.525,4.85,14.0,1539.0
Warface,158,2097.3999999999983,0.1,0.7,2.0,10.849999999999998,677.0
Dirty Bomb,186,1385.3000000000002,0.1,0.4,1.0,5.2,162.0
Borderlands,144,4742.099999999999,0.1,3.45,14.05,39.25,524.0
Injustice Gods Among Us Ultimate Edition,47,486.4999999999999,0.2,3.3,4.6,11.55,56.0
Marvel Puzzle Quest,9,1901.6,0.1,3.5,38.0,128.0,927.0
NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,37,692.3000000000002,0.3,4.1,10.8,23.0,106.0
Don't Starve,156,3581.3,0.1,1.6749999999999998,5.9,14.775,608.0
Batman Arkham City,29,655.4000000000001,0.7,8.1,13.2,36.0,111.0
The Sims(TM) Medieval,4,59.39999999999999,2.8,3.175,7.800000000000001,19.475,41.0
EVE Online,21,732.6,1.7,7.1,21.0,57.0,114.0
Tom Clancy's Splinter Cell Conviction,40,655.8000000000001,0.2,3.6500000000000004,8.3,15.15,203.0
DC Universe Online,141,4653.399999999999,0.2,2.1,6.4,20.0,1326.0
RIFT,73,3111.5,0.1,1.5,7.4,19.3,590.0
Don't Starve Together Beta,146,2026.8000000000004,0.1,2.225,5.95,13.575000000000001,122.0
Darksiders II,67,1282.8000000000004,0.1,3.05,13.5,27.0,110.0
Star Wars The Force Unleashed Ultimate Sith Edition,33,175.29999999999998,0.4,0.8,2.7,6.2,32.0
Command and Conquer 4 Tiberian Twilight,19,235.2,0.2,0.9,3.5,6.85,121.0
Anno 2070,55,1618.1,0.1,3.2,13.7,33.0,409.0
RAGE,63,1205.2999999999995,0.3,2.6,12.2,22.0,264.0
SpaceChem,33,282.29999999999995,0.1,0.7,1.5,3.0,117.0
Transistor,33,193.20000000000002,0.1,1.8,4.0,7.5,34.0
Age of Empires III Complete Collection,83,1422.1000000000001,0.1,0.8,3.6,17.549999999999997,176.0
Transformers Fall of Cybertron,16,203.8,0.5,1.3749999999999998,6.0,18.325,51.0
Beat Hazard,34,191.9,0.1,0.9,1.95,9.350000000000001,31.0
Brtal Legend,36,218.29999999999998,0.1,1.3749999999999998,4.25,7.300000000000001,29.0
Might & Magic Heroes VI,41,4139.500000000001,0.8,4.7,17.2,118.0,834.0
"Warhammer 40,000 Dawn of War II",126,3436.1000000000013,0.1,2.025,13.75,35.0,370.0
Star Wars Jedi Knight Jedi Academy,37,430.5,0.2,1.2,4.9,13.2,98.0
DEFCON,22,38.00000000000001,0.2,0.525,1.05,2.1500000000000004,10.2
Dungeon Siege 2,5,18.8,0.2,0.3,1.5,2.7,14.1
"Warhammer 40,000 Space Marine",49,783.0,0.3,1.3,6.7,16.2,114.0
The Polynomial,8,6.9,0.1,0.3,0.45,0.7749999999999999,3.6
Star Wars Empire at War Gold,38,471.40000000000003,0.1,0.9750000000000001,2.5,8.075000000000001,106.0
Halo Spartan Assault,13,31.900000000000002,0.2,0.3,0.8,2.5,15.1
Tom Clancy's H.A.W.X. 2,7,25.2,0.2,0.7000000000000001,2.7,5.55,9.8
Forge,19,23.8,0.1,0.3,0.6,1.0,7.2
Free to Play,32,69.5,0.1,1.15,1.6,2.525,11.1
Day of Defeat,85,1349.4999999999998,0.1,0.4,1.3,5.4,257.0
Call of Duty Black Ops II - Multiplayer,150,13815.0,0.1,6.925000000000001,26.5,106.0,1006.0
Brick-Force,36,46.4,0.1,0.3,0.5,1.0,16.1
Call of Duty Black Ops II,113,1420.1000000000001,0.1,1.0,5.4,10.7,409.0
Gear Up,52,215.29999999999993,0.1,0.27499999999999997,0.8500000000000001,3.925,103.0
Guns and Robots,29,160.29999999999993,0.1,0.2,0.6,1.0,95.0
Torchlight,74,1685.6000000000001,0.1,2.425,8.3,21.275,422.0
Titan Quest Immortal Throne,31,572.9,0.2,1.2999999999999998,8.6,27.5,83.0
Titan Quest,58,254.39999999999998,0.1,0.3,0.7,3.65,51.0
Half-Life Blue Shift,42,96.6,0.1,0.6,1.85,3.075,9.9
Half-Life 2 Deathmatch,178,3697.3999999999996,0.1,0.3,1.1,4.074999999999999,1366.0
Call of Duty Modern Warfare 3 - Multiplayer,194,20601.199999999993,0.1,6.95,38.5,123.0,1766.0
Duke Nukem Forever,37,407.90000000000003,0.3,3.5,9.1,14.4,64.0
Call of Duty Modern Warfare 3,208,5439.499999999998,0.1,4.9,11.1,27.25,466.0
Sniper Ghost Warrior,45,685.0000000000001,0.2,3.3,9.1,15.3,113.0
Company of Heroes 2,85,1949.8000000000002,0.1,4.3,13.3,26.0,152.0
Sins of a Solar Empire Rebellion,47,1430.4,0.2,2.25,12.9,42.0,194.0
Sins of a Solar Empire Trinity,13,206.79999999999998,0.2,1.0,4.6,33.0,57.0
Battlefield 2,14,191.3,0.3,0.8499999999999999,1.8,13.100000000000001,80.0
Men of War,12,288.1,0.6,3.4250000000000003,11.1,21.675,123.0
Wargame Red Dragon,27,1177.1000000000001,0.2,3.5,9.9,30.5,239.0
Wargame European Escalation,35,835.7,0.1,1.5,4.3,14.75,206.0
America's Army 3,15,165.5,0.1,0.15000000000000002,0.3,4.55,92.0
Full Spectrum Warrior,2,13.200000000000001,0.3,3.45,6.6000000000000005,9.75,12.9
Insurgency Modern Infantry Combat,60,398.29999999999995,0.1,0.475,2.45,6.950000000000001,41.0
Red Orchestra Ostfront 41-45,25,813.4,0.2,0.8,3.1,9.7,431.0
DiRT Rally,18,189.7,0.3,3.9000000000000004,6.8999999999999995,12.7,62.0
Men of War Assault Squad 2,18,1242.0000000000002,0.3,10.25,19.85,94.0,266.0
Command and Conquer Red Alert 3,26,481.69999999999993,0.4,3.9749999999999996,8.399999999999999,21.3,172.0
Defiance,92,1432.3,0.1,1.5,3.7,12.700000000000001,277.0
Darkest Hour Europe '44-'45,14,341.9,0.2,0.45000000000000007,1.1,3.8,138.0
Full Spectrum Warrior Ten Hammers,2,9.5,2.6,3.6750000000000003,4.75,5.825000000000001,6.9
Verdun,24,243.20000000000002,0.2,1.0750000000000002,2.75,10.6,98.0
Omerta - City of Gangsters,17,292.8,1.0,3.5,7.9,16.3,79.0
A Game of Thrones - Genesis,13,79.2,0.3,0.8,1.2,2.8,46.0
Stronghold HD,21,90.4,0.2,0.7,2.0,7.9,12.5
The Ship Single Player,18,21.099999999999994,0.2,0.3,0.7,1.975,3.4
Red Orchestra 2 Heroes of Stalingrad - Single Player,39,99.3,0.1,0.45,1.1,2.25,21.0
Arma 2 DayZ Mod,58,147.8,0.1,0.2,0.75,1.3,27.0
Democracy 3,28,152.9,0.1,1.8499999999999999,4.0,7.475,21.0
Tropico 5,33,642.1,1.1,6.0,16.6,26.0,66.0
Life Is Strange,38,520.2,0.2,1.9000000000000001,13.0,19.575000000000003,75.0
Lost Saga North America,3,21.0,0.5,3.7,6.9,10.25,13.6
Risen 2 - Dark Waters,34,687.4000000000002,0.1,1.2,6.7,25.75,169.0
Hitman Absolution,140,1784.3999999999996,0.1,2.7749999999999995,8.45,16.924999999999997,64.0
Killing Floor 2,48,1594.8999999999999,0.1,5.2749999999999995,10.0,24.25,503.0
Spooky's House of Jump Scares,30,30.299999999999997,0.1,0.32499999999999996,0.6,1.6,5.0
Primal Carnage Extinction,7,409.1,0.3,2.3,4.2,104.0,192.0
Dino D-Day,64,164.0999999999999,0.1,0.37500000000000006,1.5,2.525,18.4
theHunter,114,302.6000000000001,0.1,0.3,0.9,1.7750000000000001,95.0
"Warhammer 40,000 Dawn of War  Dark Crusade",23,624.9,0.1,3.0999999999999996,12.7,20.45,228.0
Neverwinter,132,3447.6999999999994,0.1,2.1,6.65,18.775,653.0
DARK SOULS II Scholar of the First Sin,33,1691.3,0.3,9.7,22.0,62.0,381.0
The Forest,127,1694.7999999999997,0.2,3.1,7.9,15.35,166.0
FINAL FANTASY III,6,98.1,0.5,1.575,5.5,24.875,55.0
Knights of Pen and Paper +1,12,67.0,1.3,2.175,5.15,6.725,15.8
Smashball,13,22.800000000000004,0.3,0.6,0.8,1.6,7.3
King's Quest,2,33.4,9.4,13.05,16.7,20.35,24.0
ArcheAge,40,1109.7000000000003,0.1,0.5,1.55,9.35,618.0
School of Dragons How to Train Your Dragon,26,100.9,0.1,0.525,2.0,5.125,25.0
Star Conflict,53,636.5,0.2,0.8,2.2,5.9,229.0
MechWarrior Online,7,46.099999999999994,0.3,0.6,0.8,1.4,41.0
Wind of Luck Arena,5,33.2,0.6,1.6,2.4,3.6,25.0
Firefall,74,976.6999999999997,0.1,0.8250000000000001,1.8,8.6,393.0
Echoes+,8,6.6,0.1,0.1,0.5,0.825,3.4
Football Manager 2013,99,32299.0,0.9,58.5,150.0,397.0,3374.0
Ys Origin,7,54.9,1.4,1.85,2.6,13.1,21.0
Synergy,43,330.49999999999994,0.1,1.7,3.3,12.0,37.0
Break Into Zatwor,3,5.0,0.3,1.15,2.0,2.35,2.7
Relic Hunters Zero,22,88.5,0.1,0.35,0.7,4.925,38.0
Two Worlds II,28,405.3000000000001,0.1,1.5250000000000001,3.6,18.0,83.0
Mount & Blade With Fire and Sword,44,1493.0,0.3,2.6499999999999995,14.35,48.25,195.0
Grand Theft Auto San Andreas,110,1203.6000000000001,0.1,0.5,1.55,13.024999999999999,135.0
SpeedRunners,54,733.7,0.1,1.75,6.15,13.825,156.0
LEGO MARVEL Super Heroes,37,2080.2999999999997,0.1,2.0,9.6,31.0,1069.0
LEGO Batman 3 Beyond Gotham,5,126.4,4.0,4.7,16.7,49.0,52.0
LEGO Batman 2,4,56.9,4.2,10.125,13.85,17.95,25.0
LEGO The Hobbit,11,325.00000000000006,0.3,1.6,7.2,26.35,196.0
Teenage Mutant Ninja Turtles Out of the Shadows,6,33.199999999999996,0.5,2.025,3.75,7.575000000000001,14.9
LEGO Jurassic World,6,105.89999999999999,2.8,10.0,13.399999999999999,26.925,36.0
Lego Star Wars 3 The Clone Wars,3,21.0,6.0,6.2,6.4,7.5,8.6
"Warhammer 40,000 Dawn of War II - Chaos Rising",52,1572.8000000000002,0.1,3.0,10.85,28.25,267.0
Aliens vs. Predator,69,907.6,0.4,2.3,6.9,14.0,138.0
Castlevania Lords of Shadow - Ultimate Edition,15,84.9,0.3,1.1,2.5,7.199999999999999,26.0
DmC Devil May Cry,43,513.2000000000002,0.3,2.5,6.6,11.95,97.0
Of Orcs And Men,6,43.4,0.9,1.875,2.5999999999999996,4.8999999999999995,30.0
Magic 2014 ,43,1212.5,0.2,2.5,11.1,36.0,217.0
Gotham City Impostors,13,78.80000000000001,0.7,1.5,4.3,8.1,17.8
Tomb Raider Anniversary,11,30.000000000000004,0.2,0.8,1.1,3.0,13.8
SONIC THE HEDGEHOG 4 Episode II,4,22.6,0.8,0.95,5.2,9.9,11.4
LEGO Batman The Videogame,5,74.5,0.4,1.3,1.5,9.3,62.0
Tomb Raider Legend,9,18.3,0.2,0.5,0.8,1.4,10.5
BioShock 2,66,496.8,0.1,0.925,5.0,11.45,36.0
Sonic Adventure DX,6,5.5,0.1,0.2,0.25,1.425,2.9
Total War SHOGUN 2,173,15751.9,0.2,8.0,33.0,109.0,1169.0
Medieval II Total War,76,3284.0,0.1,3.3249999999999997,15.8,51.75,327.0
The Witcher 3 Wild Hunt,77,4876.900000000001,0.2,14.3,51.0,96.0,278.0
Galactic Civilizations III,15,727.1999999999999,0.3,2.8,23.0,45.0,338.0
Total War ATTILA,35,2651.5,0.9,14.8,34.0,111.0,418.0
Endless Legend,37,1287.7,0.6,7.3,18.8,36.0,157.0
Sid Meier's Civilization IV Beyond the Sword,25,3637.4,0.4,12.9,43.0,199.0,1064.0
Franchise Hockey Manager 2014,3,74.0,2.0,11.5,21.0,36.0,51.0
Dark Messiah of Might & Magic Single Player,18,147.10000000000002,0.4,2.5,5.25,14.775000000000002,21.0
HAWKEN,106,1413.9999999999998,0.1,0.6,1.3,6.725,317.0
Alien Isolation,30,357.70000000000005,0.2,1.775,3.1,17.95,91.0
Homeworld Remastered Collection,33,374.6,0.3,1.5,6.2,13.2,84.0
Red Faction Guerrilla Steam Edition,43,410.4,0.2,1.1,3.9,14.75,63.0
Dead Space 2,27,270.9,0.3,1.05,6.0,11.85,41.0
Crysis,55,380.1,0.1,0.9,3.3,10.100000000000001,44.0
Medieval II Total War Kingdoms,34,1648.8000000000004,0.2,1.125,7.800000000000001,30.0,378.0
Game of Thrones - A Telltale Games Series,20,302.4,0.3,8.25,12.3,17.5,44.0
Darwinia,12,31.000000000000004,0.1,0.3,0.8500000000000001,3.6,9.0
Infested Planet,6,51.8,4.7,5.475,7.0,10.325000000000001,16.7
RISK Factions,6,16.9,0.6,1.35,2.0,3.4749999999999996,7.2
Crusader Kings II,76,9020.7,0.2,2.3,15.549999999999999,86.0,1136.0
Half-Life Source,37,296.99999999999994,0.1,0.7,3.8,12.3,54.0
Prey,4,15.7,0.5,2.75,4.45,5.625000000000001,6.3
F.E.A.R. 3,52,407.70000000000005,0.1,1.3,4.25,9.924999999999999,49.0
Supreme Commander Forged Alliance,26,2207.7999999999997,0.8,2.9499999999999997,12.05,34.5,798.0
Wings of Prey,11,428.09999999999997,1.0,1.8,13.7,33.5,262.0
Europa Universalis IV,50,9759.0,0.3,3.7250000000000005,27.0,201.0,2836.0
Earth 2160,10,58.39999999999999,0.2,0.425,2.05,6.550000000000001,26.0
Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre,14,66.6,0.1,1.9,4.45,6.800000000000001,11.4
Wargame AirLand Battle,28,1182.4,0.4,1.25,4.4,40.5,462.0
X3 Reunion,7,172.2,0.2,0.30000000000000004,1.1,26.15,118.0
The Long Dark,29,312.49999999999994,0.2,1.3,3.5,14.5,103.0
Alien Breed 2 Assault,7,36.0,0.5,0.75,2.2,7.85,16.1
Planetary Annihilation,66,789.1999999999999,0.1,0.7249999999999999,2.3,8.225000000000001,138.0
Among the Sleep,6,10.4,0.5,1.0250000000000001,1.9500000000000002,2.3499999999999996,2.8
SiN Episodes Emergence,3,6.4,0.2,0.35,0.5,3.1,5.7
Panzer Corps,2,6.2,0.3,1.7000000000000002,3.1,4.500000000000001,5.9
3DMark,18,240.8,0.3,1.3,2.35,4.825,170.0
F.E.A.R. Perseus Mandate,7,35.39999999999999,0.2,2.6,4.1,5.4,15.1
Space Empires IV Deluxe,3,32.0,0.1,3.5,6.9,15.95,25.0
Navy Field 2  Conqueror of the Ocean,15,35.8,0.1,0.3,0.4,1.4500000000000002,23.0
Space Engineers,100,4466.0,0.1,1.9,9.899999999999999,25.75,819.0
Farming Simulator 15,29,2050.3,0.3,19.4,49.0,72.0,656.0
Sniper Ghost Warrior 2,31,232.49999999999997,0.2,1.85,4.5,11.05,30.0
Sid Meier's Civilization Beyond Earth,61,2826.6000000000004,0.5,7.9,22.0,62.0,304.0
Need for Speed SHIFT,10,50.7,0.2,0.6499999999999999,1.15,3.9,22.0
Toribash,77,360.8000000000001,0.1,0.3,0.9,4.0,96.0
Fable - The Lost Chapters,36,395.70000000000005,0.1,1.8749999999999998,5.9,15.100000000000001,78.0
